"data_bulletin","week","country","cases","cumulative"
2022-06-17,"2022-06","Greece",0,0
2022-06-17,"2022-07","Greece",1,1
2022-06-17,"2022-08","Greece",0,1
2022-06-17,"2022-09","Greece",0,1
2022-06-17,"2022-10","Greece",0,1
2022-06-17,"2022-11","Greece",0,1
2022-06-17,"2022-12","Greece",0,1
2022-06-17,"2022-13","Greece",0,1
2022-06-17,"2022-14","Greece",2,3
2022-06-17,"2022-15","Greece",0,3
2022-06-17,"2022-16","Greece",0,3
2022-06-17,"2022-17","Greece",1,4
2022-06-17,"2022-18","Greece",0,4
2022-06-17,"2022-19","Greece",1,5
2022-06-17,"2022-20","Greece",1,6
2022-06-17,"2022-21","Greece",2,8
2022-06-17,"2022-22","Greece",0,8
2022-06-17,"2022-23","Greece",0,8
2022-06-17,"2022-24","Greece",0,8
2022-07-01,"2021-39","Greece",0,0
2022-07-01,"2021-40","Greece",0,0
2022-07-01,"2021-41","Greece",0,0
2022-07-01,"2021-42","Greece",0,0
2022-07-01,"2021-43","Greece",0,0
2022-07-01,"2021-44","Greece",0,0
2022-07-01,"2021-45","Greece",0,0
2022-07-01,"2021-46","Greece",0,0
2022-07-01,"2021-47","Greece",0,0
2022-07-01,"2021-48","Greece",0,0
2022-07-01,"2021-49","Greece",0,0
2022-07-01,"2021-50","Greece",0,0
2022-07-01,"2021-51","Greece",0,0
2022-07-01,"2021-52","Greece",0,0
2022-07-01,"2022-01","Greece",0,0
2022-07-01,"2022-02","Greece",0,0
2022-07-01,"2022-03","Greece",0,0
2022-07-01,"2022-04","Greece",0,0
2022-07-01,"2022-05","Greece",0,0
2022-07-01,"2022-06","Greece",0,0
2022-07-01,"2022-07","Greece",1,1
2022-07-01,"2022-08","Greece",0,1
2022-07-01,"2022-09","Greece",0,1
2022-07-01,"2022-10","Greece",0,1
2022-07-01,"2022-11","Greece",0,1
2022-07-01,"2022-12","Greece",0,1
2022-07-01,"2022-13","Greece",0,1
2022-07-01,"2022-14","Greece",2,3
2022-07-01,"2022-15","Greece",0,3
2022-07-01,"2022-16","Greece",0,3
2022-07-01,"2022-17","Greece",1,4
2022-07-01,"2022-18","Greece",0,4
2022-07-01,"2022-19","Greece",1,5
2022-07-01,"2022-20","Greece",1,6
